Iteración,Tipo,Tiempo Generación Claves,Tiempo Firma,Tiempo Verificación,Tiempo Total
1,"SHA-2_192-bit, robust",12.244,183.752,9.482,205.478
2,"SHA-2_192-bit, robust",6.099,162.610,8.858,177.567
3,"SHA-2_192-bit, robust",6.047,157.485,8.692,172.224
4,"SHA-2_192-bit, robust",5.922,158.174,8.510,172.606
5,"SHA-2_192-bit, robust",5.951,157.764,8.479,172.194
6,"SHA-2_192-bit, robust",5.903,157.694,8.618,172.215
7,"SHA-2_192-bit, robust",5.959,157.112,8.566,171.636
8,"SHA-2_192-bit, robust",5.920,158.005,8.731,172.657
9,"SHA-2_192-bit, robust",5.909,158.005,8.664,172.579
10,"SHA-2_192-bit, robust",5.869,157.414,8.796,172.078
11,"SHA-2_192-bit, robust",5.881,157.823,8.657,172.361
12,"SHA-2_192-bit, robust",5.927,155.456,8.430,169.813
13,"SHA-2_192-bit, robust",5.936,158.711,8.581,173.228
14,"SHA-2_192-bit, robust",5.874,157.880,8.571,172.325
15,"SHA-2_192-bit, robust",5.897,158.008,8.461,172.366
16,"SHA-2_192-bit, robust",5.896,158.338,8.756,172.989
17,"SHA-2_192-bit, robust",5.888,155.671,8.471,170.031
18,"SHA-2_192-bit, robust",5.883,157.689,8.590,172.162
19,"SHA-2_192-bit, robust",6.108,157.020,8.633,171.761
20,"SHA-2_192-bit, robust",5.920,158.256,8.469,172.645
21,"SHA-2_192-bit, robust",5.895,161.053,8.523,175.471
22,"SHA-2_192-bit, robust",5.922,180.819,8.706,195.447
23,"SHA-2_192-bit, robust",7.552,155.103,8.633,171.288
24,"SHA-2_192-bit, robust",6.766,157.594,8.964,173.324
25,"SHA-2_192-bit, robust",5.908,157.466,8.723,172.097
26,"SHA-2_192-bit, robust",6.100,160.928,8.560,175.589
27,"SHA-2_192-bit, robust",5.888,155.658,8.512,170.058
28,"SHA-2_192-bit, robust",9.453,155.606,8.663,173.722
29,"SHA-2_192-bit, robust",6.132,157.304,8.820,172.257
30,"SHA-2_192-bit, robust",6.368,157.423,8.802,172.592
31,"SHA-2_192-bit, robust",5.874,156.910,11.794,174.579
32,"SHA-2_192-bit, robust",7.771,157.215,8.584,173.570
33,"SHA-2_192-bit, robust",7.975,155.581,8.443,171.999
34,"SHA-2_192-bit, robust",5.897,157.271,8.735,171.904
35,"SHA-2_192-bit, robust",5.877,157.285,8.614,171.776
36,"SHA-2_192-bit, robust",5.899,157.067,8.674,171.640
37,"SHA-2_192-bit, robust",5.937,155.324,10.037,171.298
38,"SHA-2_192-bit, robust",5.894,155.790,8.821,170.504
39,"SHA-2_192-bit, robust",5.911,157.788,8.542,172.241
40,"SHA-2_192-bit, robust",5.887,157.229,8.512,171.627
41,"SHA-2_192-bit, robust",5.909,156.709,8.700,171.318
42,"SHA-2_192-bit, robust",5.911,155.570,10.178,171.659
43,"SHA-2_192-bit, robust",5.915,155.918,8.626,170.459
44,"SHA-2_192-bit, robust",5.897,157.084,8.595,171.576
45,"SHA-2_192-bit, robust",5.969,174.931,8.672,189.572
46,"SHA-2_192-bit, robust",5.973,156.540,8.546,171.058
47,"SHA-2_192-bit, robust",5.954,155.735,9.466,171.154
48,"SHA-2_192-bit, robust",5.904,163.150,8.898,177.952
49,"SHA-2_192-bit, robust",5.902,157.245,8.515,171.662
50,"SHA-2_192-bit, robust",5.917,156.850,8.740,171.507
51,"SHA-2_192-bit, robust",5.897,158.606,9.744,174.247
52,"SHA-2_192-bit, robust",6.028,156.230,9.883,172.141
53,"SHA-2_192-bit, robust",5.918,155.742,8.690,170.350
54,"SHA-2_192-bit, robust",5.904,157.884,8.676,172.464
55,"SHA-2_192-bit, robust",5.906,157.805,8.530,172.240
56,"SHA-2_192-bit, robust",5.901,157.120,8.659,171.680
57,"SHA-2_192-bit, robust",5.886,155.750,11.828,173.463
58,"SHA-2_192-bit, robust",6.318,163.507,8.787,178.611
59,"SHA-2_192-bit, robust",5.889,160.150,9.009,175.048
60,"SHA-2_192-bit, robust",6.731,158.421,8.657,173.808
61,"SHA-2_192-bit, robust",5.911,157.028,8.584,171.524
62,"SHA-2_192-bit, robust",5.940,155.690,9.804,171.434
63,"SHA-2_192-bit, robust",5.923,156.676,8.553,171.152
64,"SHA-2_192-bit, robust",5.901,157.797,8.793,172.491
65,"SHA-2_192-bit, robust",5.989,158.192,8.677,172.858
66,"SHA-2_192-bit, robust",5.903,157.138,8.891,171.932
67,"SHA-2_192-bit, robust",6.031,163.562,8.892,178.485
68,"SHA-2_192-bit, robust",6.332,180.623,8.704,195.660
69,"SHA-2_192-bit, robust",6.314,157.180,8.731,172.225
70,"SHA-2_192-bit, robust",7.472,172.462,10.602,190.535
71,"SHA-2_192-bit, robust",6.129,165.734,8.642,180.506
72,"SHA-2_192-bit, robust",5.918,158.695,8.632,173.245
73,"SHA-2_192-bit, robust",6.217,157.679,8.565,172.460
74,"SHA-2_192-bit, robust",5.987,156.994,8.616,171.597
75,"SHA-2_192-bit, robust",5.890,157.526,8.813,172.229
76,"SHA-2_192-bit, robust",5.903,158.021,8.688,172.611
77,"SHA-2_192-bit, robust",5.909,157.519,8.546,171.973
78,"SHA-2_192-bit, robust",5.918,156.302,8.585,170.805
79,"SHA-2_192-bit, robust",6.162,159.548,8.674,174.384
80,"SHA-2_192-bit, robust",5.955,167.398,8.707,182.060
81,"SHA-2_192-bit, robust",5.914,156.454,8.706,171.074
82,"SHA-2_192-bit, robust",5.888,156.915,8.599,171.402
83,"SHA-2_192-bit, robust",5.902,155.638,8.814,170.355
84,"SHA-2_192-bit, robust",6.897,156.998,8.525,172.420
85,"SHA-2_192-bit, robust",5.897,157.710,8.542,172.149
86,"SHA-2_192-bit, robust",5.877,156.587,8.443,170.907
87,"SHA-2_192-bit, robust",5.886,156.594,8.742,171.222
88,"SHA-2_192-bit, robust",5.872,155.235,8.464,169.572
89,"SHA-2_192-bit, robust",5.896,157.028,8.729,171.653
90,"SHA-2_192-bit, robust",6.089,182.638,9.072,197.800
91,"SHA-2_192-bit, robust",5.953,160.327,8.751,175.031
92,"SHA-2_192-bit, robust",5.955,159.466,9.031,174.452
93,"SHA-2_192-bit, robust",6.140,158.416,8.713,173.269
94,"SHA-2_192-bit, robust",6.060,157.023,8.351,171.434
95,"SHA-2_192-bit, robust",5.900,158.183,8.613,172.697
96,"SHA-2_192-bit, robust",5.945,158.929,8.805,173.679
97,"SHA-2_192-bit, robust",6.110,162.168,8.644,176.922
98,"SHA-2_192-bit, robust",5.979,159.853,8.830,174.662
99,"SHA-2_192-bit, robust",5.873,157.556,8.890,172.319
100,"SHA-2_192-bit, robust",5.909,158.409,8.252,172.570
